task,candidate,delta_PR_AUC_vs_M0,delta_PR_AUC_CI_low,delta_PR_AUC_CI_median,delta_PR_AUC_CI_high,bootstrap_reps
T13,M1,0.0647633520243141,-0.01311844624133366,0.07006133123565067,0.23799194329591875,1000
T13,M2,0.24671583422046525,0.08854751527519307,0.2527795611340642,0.43387610098517176,1000
T18,M1,0.2177607795114415,0.09021239049089065,0.22070166464871366,0.36752836707916225,1000
T18,M2,0.4174793328597204,0.25472549242809056,0.4228924393881245,0.5547149658219821,1000
T21,M1,-0.009092714723619607,-0.04917919202743765,-0.0100850481075925,0.0010696499928291483,1000
T21,M2,0.10323126515718142,-0.0023494271008678066,0.09789682720596823,0.30229602579554476,1000
