task,model,model_name,Sensitivity,Sensitivity_CI_low,Sensitivity_CI_high,Precision,Precision_CI_low,Precision_CI_high,Specificity,Specificity_CI_low,Specificity_CI_high,F1,F1_CI_low,F1_CI_high,PR_AUC,PR_AUC_CI_low,PR_AUC_CI_high,ROC_AUC,ROC_AUC_CI_low,ROC_AUC_CI_high,Brier,Brier_CI_low,Brier_CI_high
T13,M0,M0 单|Z|阈值基准,0.34782608695652173,0.13333333333333333,0.5652536231884058,0.029850746268656716,0.007935723696593261,0.057052103079051175,0.5532646048109966,0.491691555645044,0.6161685346616853,0.054982817869415807,0.01497711194340408,0.10304075235109716,0.04204825229617656,0.021244217096170765,0.10416495381828136,0.47325564022112654,0.3571347130444522,0.6069104642221143,0.03667766093000464,0.02067857598835393,0.053610592686195016
T13,M1,M1 染色体信息Ridge,0.21739130434782608,0.06666666666666667,0.40022727272727254,0.13513513513513514,0.03842592592592593,0.25012254901960773,0.9450171821305842,0.9192968891300416,0.9648328708217705,0.16666666666666666,0.04645994832041344,0.29172794117647055,0.10681160432049067,0.04710219152556177,0.2602143449420915,0.6325265202450322,0.5176168842621365,0.7562563745995837,0.03592516499314474,0.019989796386397383,0.052273301433864015
T13,M2,M2 16特征综合Ridge,0.30434782608695654,0.1332608695652174,0.5,0.2916666666666667,0.12893145161290323,0.4706656346749225,0.9707903780068728,0.9554358793260014,0.9846678023850085,0.2978723404255319,0.12899794097460537,0.4482934553131597,0.2887640865166418,0.13350045120206497,0.5049583080785739,0.7107425668608994,0.5665093416775152,0.8641255521971635,0.03159389777645744,0.016432996868198622,0.04742695891369103
T18,M0,M0 单|Z|阈值基准,0.7608695652173914,0.6199411764705882,0.8918918918918919,0.08641975308641975,0.05582730565878478,0.12142857142857143,0.33810375670840787,0.2983028147699758,0.38021205357142857,0.15521064301552107,0.10327118963782694,0.21212603744450878,0.07646918588490434,0.051081513236168774,0.11465890546639686,0.5154779497549974,0.42646825158356855,0.5957395912910618,0.07062723116581487,0.049848462250893316,0.0958163571621099
T18,M1,M1 染色体信息Ridge,0.391304347826087,0.24129720853858785,0.5638311688311686,0.2647058823529412,0.14813296903460837,0.3877551020408163,0.9105545617173524,0.8792777591090202,0.9381061327591205,0.3157894736842105,0.18603452409494126,0.4424815029740316,0.2942299653963458,0.15028371109888528,0.4543517103045644,0.7504472271914132,0.6672227433984347,0.8370499061693644,0.06279402428201969,0.04469958366157634,0.085226642200477
T18,M2,M2 16特征综合Ridge,0.4782608695652174,0.32653061224489793,0.6279987760097918,0.4230769230769231,0.2726799242424242,0.5769444444444444,0.9463327370304114,0.9280695280637017,0.9646048914485492,0.44897959183673475,0.3037606711804533,0.5806451612903225,0.4939485187446247,0.31636547313819546,0.6551897676444675,0.8404371159679552,0.7726905093931072,0.9010412777859965,0.05284354623074503,0.037401000846516694,0.07028013047718096
T21,M0,M0 单|Z|阈值基准,0.07692307692307693,0.0,0.2727272727272727,0.014705882352941176,0.0,0.05128205128205128,0.8868243243243243,0.8535342780444994,0.9163914495173114,0.024691358024691357,0.0,0.08110884857460197,0.025637236061688166,0.012635996220123232,0.07435004064375714,0.4903846153846154,0.34861639103665526,0.6707280131270886,0.021073446300455177,0.01006761976691433,0.03357153271662949
T21,M1,M1 染色体信息Ridge,0.23076923076923078,0.0,0.5,0.014354066985645933,0.0,0.033153775322283606,0.652027027027027,0.582256402708272,0.7162656396336778,0.02702702702702703,0.0,0.06114883711982762,0.01654452133806856,0.00923427684652802,0.029900074560776178,0.35382016632016633,0.21285064496760822,0.5076101114887047,0.021321831194686267,0.010274264715496974,0.0338325948855769
T21,M2,M2 16特征综合Ridge,0.15384615384615385,0.0,0.4,0.06666666666666667,0.0,0.17857142857142858,0.9527027027027027,0.9312572836546466,0.9711423884195065,0.09302325581395349,0.0,0.232626538987688,0.12886850121886959,0.015249123063965659,0.384911246720179,0.5280665280665281,0.34531367801463897,0.73182408126294,0.020973586309928235,0.009308298969703385,0.03272332958373708
