task,model,model_name,Sensitivity,Sensitivity_CI_low,Sensitivity_CI_high,Precision,Precision_CI_low,Precision_CI_high,Specificity,Specificity_CI_low,Specificity_CI_high,F1,F1_CI_low,F1_CI_high,PR_AUC,PR_AUC_CI_low,PR_AUC_CI_high,ROC_AUC,ROC_AUC_CI_low,ROC_AUC_CI_high,Brier,Brier_CI_low,Brier_CI_high
T13,M2,M2 16特征综合Ridge,0.30434782608695654,0.1332608695652174,0.5,0.2916666666666667,0.12893145161290323,0.4706656346749225,0.9707903780068728,0.9554358793260014,0.9846678023850085,0.2978723404255319,0.12899794097460537,0.4482934553131597,0.2887640865166418,0.13350045120206497,0.5049583080785739,0.7107425668608994,0.5665093416775152,0.8641255521971635,0.03159389777645744,0.016432996868198622,0.04742695891369103
T18,M2,M2 16特征综合Ridge,0.4782608695652174,0.32653061224489793,0.6279987760097918,0.4230769230769231,0.2726799242424242,0.5769444444444444,0.9463327370304114,0.9280695280637017,0.9646048914485492,0.44897959183673475,0.3037606711804533,0.5806451612903225,0.4939485187446247,0.31636547313819546,0.6551897676444675,0.8404371159679552,0.7726905093931072,0.9010412777859965,0.05284354623074503,0.037401000846516694,0.07028013047718096
T21,M0,M0 单|Z|阈值基准,0.07692307692307693,0.0,0.2727272727272727,0.014705882352941176,0.0,0.05128205128205128,0.8868243243243243,0.8535342780444994,0.9163914495173114,0.024691358024691357,0.0,0.08110884857460197,0.025637236061688166,0.012635996220123232,0.07435004064375714,0.4903846153846154,0.34861639103665526,0.6707280131270886,0.021073446300455177,0.01006761976691433,0.03357153271662949
