task,model,selected_final,C,lambda,threshold,full_groupCV_PR_AUC_for_tuning
T13,M0,False,,,2.807104139,
T13,M1,False,1.0,1.0,0.23822695340396643,0.14823382245250777
T13,M2,True,1000.0,0.001,0.2590950377993266,0.28013568622996676
T18,M0,False,,,0.518138803,
T18,M1,False,1000.0,0.001,0.15758990579228263,0.33271813223186636
T18,M2,True,10.0,0.1,0.45916060700071015,0.5436758558884776
T21,M0,True,,,1.96968917,
T21,M1,False,0.1,10.0,0.022731856654740867,0.02469738477456328
T21,M2,False,0.1,10.0,0.589119910467974,0.1866849918604767
