task,candidate,PR_AUC,M0_PR_AUC,delta_PR_AUC_vs_M0,outer_fold_PR_AUC_wins_vs_M0,required_wins,pass_predeclared_rule
T13,M1,0.10681160432049067,0.04204825229617656,0.0647633520243141,4,4,True
T13,M2,0.2887640865166418,0.04204825229617656,0.24671583422046525,5,4,True
T18,M1,0.2942299653963458,0.07646918588490434,0.2177607795114415,5,4,True
T18,M2,0.4939485187446247,0.07646918588490434,0.4174793328597204,5,4,True
T21,M1,0.01654452133806856,0.025637236061688166,-0.009092714723619607,2,4,False
T21,M2,0.12886850121886959,0.025637236061688166,0.10323126515718142,4,4,True
