task,model,model_name,n,positive,Sensitivity,Precision,Specificity,F1,PR_AUC,ROC_AUC,Brier,TP,FP,TN,FN,fold_PR_AUC_wins_vs_M0,selected_final
T13,M0,M0 单|Z|阈值基准,605,23,0.34782608695652173,0.029850746268656716,0.5532646048109966,0.054982817869415807,0.04204825229617656,0.47325564022112654,0.03667766093000464,8,260,322,15,,False
T13,M1,M1 染色体信息Ridge,605,23,0.21739130434782608,0.13513513513513514,0.9450171821305842,0.16666666666666666,0.10681160432049067,0.6325265202450322,0.03592516499314474,5,32,550,18,4.0,False
T13,M2,M2 16特征综合Ridge,605,23,0.30434782608695654,0.2916666666666667,0.9707903780068728,0.2978723404255319,0.2887640865166418,0.7107425668608994,0.03159389777645744,7,17,565,16,5.0,True
T18,M0,M0 单|Z|阈值基准,605,46,0.7608695652173914,0.08641975308641975,0.33810375670840787,0.15521064301552107,0.07646918588490434,0.5154779497549974,0.07062723116581487,35,370,189,11,,False
T18,M1,M1 染色体信息Ridge,605,46,0.391304347826087,0.2647058823529412,0.9105545617173524,0.3157894736842105,0.2942299653963458,0.7504472271914132,0.06279402428201969,18,50,509,28,5.0,False
T18,M2,M2 16特征综合Ridge,605,46,0.4782608695652174,0.4230769230769231,0.9463327370304114,0.44897959183673475,0.4939485187446247,0.8404371159679552,0.05284354623074503,22,30,529,24,5.0,True
T21,M0,M0 单|Z|阈值基准,605,13,0.07692307692307693,0.014705882352941176,0.8868243243243243,0.024691358024691357,0.025637236061688166,0.4903846153846154,0.021073446300455177,1,67,525,12,,True
T21,M1,M1 染色体信息Ridge,605,13,0.23076923076923078,0.014354066985645933,0.652027027027027,0.02702702702702703,0.01654452133806856,0.35382016632016633,0.021321831194686267,3,206,386,10,2.0,False
T21,M2,M2 16特征综合Ridge,605,13,0.15384615384615385,0.06666666666666667,0.9527027027027027,0.09302325581395349,0.12886850121886959,0.5280665280665281,0.020973586309928235,2,28,564,11,4.0,False
