比较,变量,变量名称,阴性样本数,阳性样本数,阴性中位数,阳性中位数,阴性Q1,阴性Q3,阳性Q1,阳性Q3,MannWhitney_P值,方向性AUC,双侧判别AUC
T13异常,13号染色体的Z值,13 号染色体 Z 值,538,23,0.311066163,0.040372045,-0.43949750975,1.32205844325,-0.744707122,0.717626936,0.19186750456715618,0.4196702763859706,0.5803297236140295
T18异常,18号染色体的Z值,18 号染色体 Z 值,538,46,0.686669873,0.899690641,-0.0707541745,1.62813014775,0.036864434249999994,1.6022023175,0.3379523796723113,0.5425488928398254,0.5425488928398254
T21异常,21号染色体的Z值,21 号染色体 Z 值,538,13,-0.1569704865,0.201689704,-0.8343830907500001,0.61691367175,-0.781106058,0.52740145,0.8510631660834528,0.5152988275664856,0.5152988275664856
ZX与任意异常,X染色体的Z值,X 染色体 Z 值,538,67,0.5640744005,0.367614824,-0.2923143045,1.2611573967499998,-0.421412798,1.0313759825,0.1769948658791355,0.4494534761138545,0.5505465238861456
