指标,record_level_point_estimate,cluster_bootstrap_median,CI95_lower,CI95_upper,bootstrap_iterations,bootstrap_valid_iterations,unique_subjects,record_level_n
Y浓度 vs 孕周,0.08428675276902133,0.0850626521406631,0.012402079224090512,0.16060728720020345,2000,2000,267,1082
Y浓度 vs measurement_BMI,-0.1549524716363677,-0.155031394408175,-0.25398368884239997,-0.04887349813722452,2000,2000,267,1082
Y浓度 vs measurement_BMI（控制孕周）,-0.16865161624368932,-0.16942834259804296,-0.2699652272328036,-0.06051289652837348,2000,2000,267,1082
