模型,特征,参数个数_含sigma,NLL,AIC,BIC,5折孕妇级CV_NLL每人,sigma_AFT,拟合成功
BMI,BMI_z,3,867.6903869678287,1741.3807739356573,1752.142519910858,3.243562142385115,0.5353640426007054,True
BMI+年龄,BMI_z+age_z,4,867.5728520142533,1743.1457040285065,1757.4946986621076,3.2555311904325057,0.5334414991804818,True
BMI+年龄+产次,BMI_z+age_z+parity_z,5,866.4900066949534,1742.9800133899068,1760.9162566819082,3.2534919812160035,0.5297341353999786,True
BMI+年龄+身高,BMI_z+age_z+height_z,5,866.8674368822059,1743.7348737644118,1761.671117056413,3.2564764619655273,0.5276522707179315,True
体重+身高+年龄+产次（无BMI）,weight_z+height_z+age_z+parity_z,6,865.7324725905856,1743.4649451811713,1764.9884371315727,3.2541707261375974,0.5231716463323355,True
BMI+年龄+身高+产次,BMI_z+age_z+height_z+parity_z,6,865.8865354419235,1743.773070883847,1765.2965628342483,3.2538513671851597,0.5245178380076942,True
BMI+年龄+孕次,BMI_z+age_z+grav2+grav3p,6,866.7481073218803,1745.4962146437606,1767.019706594162,3.2631668406888075,0.530728750741977,True
BMI+年龄+孕次+辅助生殖,BMI_z+age_z+grav2+grav3p+assisted,7,866.5364271015393,1747.0728542030786,1772.1835948118803,3.3425457840598227,0.5288547131280108,True
