组,BMI下界,BMI上界,人数,组内BMI均值,10周预测达标比例,12周预测达标比例,25周预测达标比例,95%推荐孕周,95%目标在10至25周可行,推荐时点风险等级
1,20.703125,29.265111787456178,47,28.42543466741931,0.7712399230483005,0.8604737299816688,0.9928582284040505,16.22925643400267,True,高风险（13–27周）
2,29.265111787456178,31.025876112219542,76,30.121496845379905,0.7324890522339752,0.8316555244588432,0.9901220488825905,17.311365392871586,True,高风险（13–27周）
3,31.025876112219542,32.78825183654729,57,31.925486621762243,0.6868082714783132,0.7959208269996987,0.9859949094584602,18.596828188414328,True,高风险（13–27周）
4,32.78825183654729,34.930506245890854,52,33.66191403648807,0.6399536049085627,0.7575980559963279,0.9806976195251853,19.924279135718205,True,高风险（13–27周）
5,34.930506245890854,46.87499999999999,35,37.361896543831,0.5340744005216974,0.6625488251334813,0.9605649909558079,23.498894867643283,True,高风险（13–27周）
