组,bootstrap有效次数,可行次数,不可行比例,推荐孕周均值,推荐孕周标准差,推荐孕周2.5%,推荐孕周50%,推荐孕周97.5%
1,150,150,0.0,16.19042092761089,1.222445860628555,13.867597954359178,16.25005856948563,18.52418950920315
2,150,150,0.0,17.28092295317692,1.1087474716593149,15.318881370761936,17.327321704697756,19.33950294411513
3,150,150,0.0,18.59896457304908,1.124035092898653,16.670306436418148,18.59058967504213,20.84658032022394
4,150,150,0.0,19.951126745318845,1.3748483260478739,17.48564002166633,20.089992690185476,22.601687639714854
5,150,100,0.33333333333333337,22.219342218526517,2.0163182796635915,18.212278378176947,22.895550879140423,24.892480291492234
