sigma_Y,组,模拟有效次数,不可行比例,推荐孕周均值,推荐孕周标准差,推荐孕周2.5%,推荐孕周97.5%
0.00583898453018548,1,60,0.0,16.615645123494716,0.6212199256685996,15.630812433958454,17.724389505978753
0.00583898453018548,2,60,0.0,17.61744191185051,0.5061021907645389,16.706307857168756,18.427691618839976
0.00583898453018548,3,60,0.0,18.802243192603783,0.4656206933673854,17.937591112495376,19.660374543437875
0.00583898453018548,4,60,0.0,20.02233449763232,0.5853686447176087,19.082189997384514,21.078264356482272
0.00583898453018548,5,60,0.09999999999999998,23.025223184203558,1.1832382486608466,21.003649956812072,24.773298544968842
0.01,1,60,0.0,16.85482172092712,0.8907596294532067,15.306171745794822,18.595357762231803
0.01,2,60,0.0,17.706633295379255,0.7904887179837109,16.299158122656728,19.374439762745272
0.01,3,60,0.0,18.70295544495995,0.7487212666382854,17.45081962476028,20.21146629873617
0.01,4,60,0.0,19.72005624186061,0.8260011917818103,18.219162476027467,21.397647353120515
0.01,5,60,0.050000000000000044,22.216249753364696,1.344551540985336,19.74748425550153,24.68247118559355
0.017,1,60,0.0,16.767492772203877,0.9580051945435659,14.906653110573,18.457377275052217
0.017,2,60,0.0,17.53579127361272,0.8388309367285026,16.124641335992166,19.015515792617347
0.017,3,60,0.0,18.43514698803959,0.8116100923114687,17.2031091888869,20.048204751876202
0.017,4,60,0.0,19.352121797672687,0.9485014402786329,18.065218723673507,21.358104754870826
0.017,5,60,0.06666666666666665,21.484788079688947,1.5673749239419634,18.992555015633606,24.628270730967593
